Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA,Date
The Gunfighter,85,Drama; Western,21-Aug-50,William Bowers; William Sellers,Gregory Peck; Helen Westcott; Millard Mitchell,,7.7,"4,834",,,,,21-Aug-50
Night and the City,96,Crime; Film-Noir; Sport,Apr-50,Jo Eisinger; Gerald Kersh,Richard Widmark; Gene Tierney; Googie Withers,,7.9,"5,351",,,,,Apr-50
Young Man with a Horn,112,Biography; Drama; Music,9-Feb-50,Carl Foreman; Edmund H. North,Kirk Douglas; Lauren Bacall; Doris Day,,7,"1,416",,,,,9-Feb-50
Destination Moon,92,Adventure; Drama; Sci-Fi,Aug-50,Alford Van Ronkel; Robert A. Heinlein,John Archer; Warner Anderson; Tom Powers,,6.3,"1,772",,"$5,000,000 ",,,Aug-50
The Men,85,Drama,Sep-50,Carl Foreman; Carl Foreman,Marlon Brando; Teresa Wright; Everett Sloane,,7.1,"2,082",,,,,Sep-50
Dallas,94,Western,30-Dec-50,John Twist,Gary Cooper; Ruth Roman; Steve Cochran,,6,533,,,,,30-Dec-50
Cyrano de Bergerac,112,Drama; Romance,16-Nov-50,Edmond Rostand; Brian Hooker,Jos Ferrer; Mala Powers; William Prince,,7.4,"1,973",,,,,16-Nov-50
La ronde,97,Drama; Romance,16-Mar-54,Arthur Schnitzler; Jacques Natanson,Anton Walbrook; Simone Signoret; Serge Reggiani,,7.6,"2,203",,,,,16-Mar-54
Stromboli,81,Drama,15-Feb-50,Roberto Rossellini; Roberto Rossellini,Ingrid Bergman; Mario Vitale; Renzo Cesana,,7.1,"2,064","$1,000,000 ",,,,15-Feb-50
Where the Sidewalk Ends,95,Crime; Film-Noir; Drama,7-Jul-50,Ben Hecht; Victor Trivas,Dana Andrews; Gene Tierney; Gary Merrill,,7.6,"3,446",,,,,7-Jul-50
Dark City,98,Crime; Drama; Film-Noir,17-Oct-50,John Meredyth Lucas; Larry Marcus,Charlton Heston; Lizabeth Scott; Viveca Lindfors,,6.7,753,,,,,17-Oct-50
Train to Tombstone,56,Western,16-Sep-50,Don 'Red' Barry; Orville H. Hampton,Don 'Red' Barry; Robert Lowery; Wally Vernon,,5.3,27,,,,,16-Sep-50
Wagon Master,86,Western,19-Apr-50,Frank S. Nugent; Patrick Ford,Ben Johnson; Joanne Dru; Harry Carey Jr.,,7.1,"2,027",,,,,19-Apr-50
The Black Rose,120,Adventure,1-Sep-50,Talbot Jennings; Thomas B. Costain,Tyrone Power; Orson Welles; Ccile Aubry,,6.1,863,,,,,1-Sep-50
The Great Rupert,87,Comedy; Family,1-Mar-50,Lszl Vadnay; James O'Hanlon,Jimmy Durante; Terry Moore; Tom Drake,,6.4,408,,,,,1-Mar-50
Rocketship X-M,77,Sci-Fi,2-Jun-50,Orville H. Hampton; Kurt Neumann,Lloyd Bridges; Osa Massen; John Emery,,4.8,"1,183","$94,000 ",,,,2-Jun-50
At War with the Army,93,Comedy; Musical; Romance,17-Jan-51,James B. Allardice; Fred F. Finklehoffe,Dean Martin; Jerry Lewis; Mike Kellin,,5.6,"1,051",,,,,17-Jan-51
Tea for Two,98,Comedy; Musical; Romance,2-Sep-50,Harry Clork; Frank Mandel,Doris Day; Gordon MacRae; Gene Nelson,,6.4,747,,,,,2-Sep-50
Summer Stock,108,Musical; Romance,22-Jan-51,George Wells; Sy Gomberg,Judy Garland; Gene Kelly; Eddie Bracken,,7,"1,792",,,,,22-Jan-51
Kim,113,Adventure; Drama; Family,26-Jan-51,Leon Gordon; Helen Deutsch,Errol Flynn; Dean Stockwell; Paul Lukas,,6.5,"1,007",,,,,26-Jan-51
Fence Riders,57,Western,19-Jan-50,Eliot Gibbons,Whip Wilson; Andy Clyde; Reno Browne,,4.9,5,,,,,19-Jan-50
The Flame and the Arrow,88,Action; Adventure; Romance,9-Jul-50,Waldo Salt,Burt Lancaster; Virginia Mayo; Robert Douglas,,6.9,"1,753",,,,,9-Jul-50
Three Little Words,102,Biography; Comedy; Musical,12-Jul-50,George Wells,Fred Astaire; Red Skelton; Vera-Ellen,,6.8,810,,"$2,800,000 ",,,12-Jul-50
Sierra,83,Western,1-Jun-50,Stuart Hardy; Edna Anhalt,Wanda Hendrix; Audie Murphy; Burl Ives,,6.7,175,,,,,1-Jun-50
Les enfants terribles,105,Drama,28-Jul-52,Jean Cocteau; Jean Cocteau,Nicole Stphane; Edouard Dermithe; Rene Cosima,,7.3,"1,689",,,,,28-Jul-52
Union Station,81,Crime; Drama; Film-Noir,1951,Sydney Boehm; Thomas Walsh,William Holden; Nancy Olson; Barry Fitzgerald,,6.8,"1,083",,,,,1951
The West Point Story,107,Comedy; Music,25-Nov-50,John Monks Jr.; Charles Hoffman,James Cagney; Virginia Mayo; Doris Day,,5.9,614,,,,,25-Nov-50
Born to Be Bad,94,Film-Noir; Drama,27-Aug-50,Edith R. Sommer; Charles Schnee,Joan Fontaine; Robert Ryan; Zachary Scott,,6.5,835,,,,,27-Aug-50
No Man of Her Own,98,Drama; Film-Noir,24-Nov-50,Sally Benson; Catherine Turney,Barbara Stanwyck; John Lund; Jane Cowl,,7.3,736,,,,,24-Nov-50
The Glass Menagerie,107,Drama,23-Feb-51,Peter Berneis; Tennessee Williams,Jane Wyman; Kirk Douglas; Gertrude Lawrence,,6.9,621,,,,,23-Feb-51
Variety Lights,93,Drama; Music; Romance,6-Dec-50,Federico Fellini; Federico Fellini,Peppino De Filippo; Carla Del Poggio; Giulietta Masina,,7.1,"1,284",,,,,6-Dec-50
Francis,91,Comedy; War; Fantasy,Feb-50,David Stern; David Stern,Donald O'Connor; Patricia Medina; Zasu Pitts,,6.1,514,"$150,000 ",,,,Feb-50
Where Danger Lives,82,Film-Noir; Thriller,14-Jul-50,Charles Bennett; Leo Rosten,Robert Mitchum; Faith Domergue; Claude Rains,,6.6,"1,077",,,,,14-Jul-50
Quicksand,79,Crime; Drama; Film-Noir,24-Mar-50,Robert Smith,Mickey Rooney; Jeanne Cagney; Barbara Bates,,6.5,981,,,,,24-Mar-50
