Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA,Date
A Midsummer Night's Dream,124,Comedy; Fantasy; Romance,9-Feb-69,William Shakespeare,Derek Godfrey; Barbara Jefford; Nicholas Selby,,6.3,387,,,,,9-Feb-69
Fando and Lis,93,Adventure; Fantasy,8-Jun-72,Fernando Arrabal; Alejandro Jodorowsky,Sergio Kleiner; Diana Mariscal; Mara Teresa Rivas,,6.9,"2,444","$100,000 ",,,,8-Jun-72
"Spider Baby or, The Maddest Story Ever Told",81,Comedy; Horror; Sci-Fi,18-Jan-68,Jack Hill,Lon Chaney Jr.; Carol Ohmart; Quinn K. Redeker,,6.8,"2,649","$65,000 ",,,,18-Jan-68
Danger: Diabolik,105,Action; Comedy; Fantasy,May-68,Angela Giussani; Luciana Giussani,John Phillip Law; Marisa Mell; Michel Piccoli,,6.4,"3,148","$400,000 ",,,,May-68
Will Penny,108,Romance; Western,10-Apr-68,Tom Gries,Charlton Heston; Joan Hackett; Donald Pleasence,,7.1,"2,061","$1,400,000 ",,,,10-Apr-68
"Rachel, Rachel",101,Drama; Romance,26-Aug-68,Stewart Stern; Margaret Laurence,Joanne Woodward; James Olson; Kate Harrington,,7.1,"1,410","$700,000 ",,,,26-Aug-68
Det var en lrdag aften,84,Family,28-Jun-68,Erik Balling; Klaus Rifbjerg,Daimi; Morten Grunwald; Claus Nissen,,5.4,29,,,,,28-Jun-68
5 Card Stud,103,Western; Mystery,22-Nov-68,Marguerite Roberts; Ray Gaulden,Dean Martin; Robert Mitchum; Inger Stevens,,6.4,"1,579",,,,PG,22-Nov-68
The War of the Gargantuas,92,Action; Horror; Sci-Fi,29-Jul-70,Reuben Bercovitch; Ishir Honda,Russ Tamblyn; Kumi Mizuno; Kenji Sahara,,6.1,917,,,,G,29-Jul-70
The Detective,114,Crime; Drama,28-May-68,Abby Mann; Roderick Thorp,Frank Sinatra; Lee Remick; Ralph Meeker,,6.5,"1,404",,,,,28-May-68
Flesh,105,Drama,27-May-70,Paul Morrissey,Joe Dallesandro; Geraldine Smith; Patti D'Arbanville,,5.5,"1,451","$4,000 ",,,R,27-May-70
Shalako,113,Western,12-Nov-68,Louis L'Amour; James Griffith,Sean Connery; Brigitte Bardot; Stephen Boyd,,5.4,"1,466","$1,455,000 ",,,PG,12-Nov-68
The Stalking Moon,109,Western,15-Feb-69,Alvin Sargent; Wendell Mayes,Gregory Peck; Eva Marie Saint; Robert Forster,,6.6,994,,,,G,15-Feb-69
Destroy All Monsters,88,Action; Horror; Sci-Fi,23-May-69,Ishir Honda; Takeshi Kimura,Akira Kubo; Jun Tazaki; Yukiko Kobayashi,,6.3,"1,727",,,,G,23-May-69
Succubus,79,Horror,7-Apr-69,Pier A. Caminnecci,Janine Reynaud; Jack Taylor; Adrian Hoven,,5.4,504,,,,,7-Apr-69
The Killing of Sister George,138,Drama,12-Dec-68,Lukas Heller; Frank Marcus,Beryl Reid; Susannah York; Coral Browne,,7,"1,198",,,,,12-Dec-68
Anzio,117,Drama; History; War,24-Jul-68,H.A.L. Craig; Wynford Vaughan-Thomas,Robert Mitchum; Peter Falk; Robert Ryan,,5.9,"1,506",,,,PG-13,24-Jul-68
The Night of the Following Day,93,Crime; Drama,26-Dec-68,Hubert Cornfield; Robert Phippeny,Marlon Brando; Richard Boone; Rita Moreno,,6,879,,,,R,26-Dec-68
"Farewell, Friend",115,Action; Adventure; Crime,8-Aug-73,Jean Herman; Sbastien Japrisot,Alain Delon; Charles Bronson; Olga Georges-Picot,,6.8,"1,090",,,,PG,8-Aug-73
Boom!,110,Drama; Thriller,26-May-68,Tennessee Williams; Tennessee Williams,Elizabeth Taylor; Richard Burton; Noel Coward,,5.4,650,"$10,000,000 ",,,PG,26-May-68
Speedway,94,Comedy; Musical,12-Jun-68,Phil Shuken,Elvis Presley; Nancy Sinatra; Bill Bixby,,5.1,968,"$1,500,000 ","$3,000,000 ",,G,12-Jun-68
"Stay Away, Joe",102,Comedy; Musical; Western,8-Mar-68,Dan Cushman; Michael A. Hoey,Elvis Presley; Burgess Meredith; Joan Blondell,,4.4,562,,,,PG,8-Mar-68
Butch Cassidy and the Sundance Kid,110,Adventure; Biography; Crime,24-Oct-69,William Goldman,Paul Newman; Robert Redford; Katharine Ross,58/100,8.2,"93,175","$6,000,000 ","$96,700,000 ",,,24-Oct-69
On Her Majesty's Secret Service,142,Action; Adventure; Crime,18-Dec-69,Simon Raven; Richard Maibaum,George Lazenby; Diana Rigg; Telly Savalas,,6.8,"37,752","$7,000,000 ","$22,774,493 ","$59,200,000 ",,18-Dec-69
Easy Rider,95,Drama,26-Jun-69,Peter Fonda; Dennis Hopper,Peter Fonda; Dennis Hopper; Antonio Mendoza,86/100,7.3,"52,906","$400,000 ","$41,728,598 ","$60,000,000 ",R,26-Jun-69
Midnight Cowboy,113,Drama,16-Jun-69,Waldo Salt; James Leo Herlihy,Dustin Hoffman; Jon Voight; Sylvia Miles,,7.9,"53,088","$3,600,000 ","$44,785,053 ","$8,000,000 ",,16-Jun-69
The Wild Bunch,145,Western,18-Jun-69,Walon Green; Sam Peckinpah,William Holden; Ernest Borgnine; Robert Ryan,,8.1,"46,648","$6,244,087 ","$638,641 ",,R,18-Jun-69
True Grit,128,Adventure; Western; Drama,11-Jun-69,Charles Portis; Marguerite Roberts,John Wayne; Glen Campbell; Kim Darby,,7.3,"22,952",,"$31,132,592 ",,,11-Jun-69
"Hello, Dolly!",146,Romance; Comedy; Musical,16-Dec-69,Michael Stewart; Thornton Wilder,Barbra Streisand; Walter Matthau; Michael Crawford,,6.9,"7,002","$25,000,000 ",,,G,16-Dec-69
The Italian Job,99,Action; Comedy; Crime,3-Sep-69,Troy Kennedy-Martin,Michael Caine; Noel Coward; Benny Hill,,7.3,"21,180",,,,G,3-Sep-69
The Reivers,107,Comedy; Drama,25-Dec-69,William Faulkner; Harriet Frank Jr.,Steve McQueen; Sharon Farrell; Ruth White,,6.8,"1,457",,,,PG-13,25-Dec-69
Z,127,Crime; Drama; History,8-Dec-69,Vasilis Vasilikos; Jorge Semprn,Yves Montand; Irene Papas; Jean-Louis Trintignant,,8.1,"12,023",,"$83,305 ",,,8-Dec-69
Pippi Longstocking,99,Adventure; Family,9-May-69,Astrid Lindgren; Astrid Lindgren,Inger Nilsson; Maria Persson; Pr Sundberg,,6.8,"1,343",,,,G,9-May-69
Le grand amour,87,Comedy; Romance,21-Mar-69,Pierre taix; Jean-Claude Carrire,Pierre taix; Annie Fratellini; Nicole Calfan,,7.1,235,,,,,21-Mar-69
Battle of Britain,132,Action; Drama; History,24-Oct-69,James Kennaway; Wilfred Greatorex,Harry Andrews; Michael Caine; Trevor Howard,,6.8,"10,667","$17,000,000 ",,,G,24-Oct-69
Paint Your Wagon,158,Comedy; Drama; Musical,15-Oct-69,Alan Jay Lerner; Alan Jay Lerner,Lee Marvin; Clint Eastwood; Jean Seberg,,6.5,"6,667","$20,000,000 ","$31,678,778 ",,PG-13,15-Oct-69
Topaz,143,Thriller,19-Dec-69,Leon Uris; Samuel A. Taylor,Frederick Stafford; Dany Robin; John Vernon,,6.2,"8,876","$4,000,000 ",,,,19-Dec-69
Army of Shadows,145,Drama; War,12-Sep-69,Joseph Kessel; Jean-Pierre Melville,Lino Ventura; Paul Meurisse; Jean-Pierre Cassel,99/100,8.1,"9,720",,"$741,766 ",,,12-Sep-69
Mackenna's Gold,128,Romance; Western,10-May-69,Heck Allen; Carl Foreman,Gregory Peck; Omar Sharif; Telly Savalas,,6.5,"4,000","$7,000,000 ",,,,10-May-69
Kes,110,Drama,19-Jun-70,Barry Hines; Barry Hines,David Bradley; Freddie Fletcher; Lynne Perrie,,7.7,"8,210",,,,PG-13,19-Jun-70
Take the Money and Run,85,Comedy; Crime,13-Mar-71,Woody Allen; Mickey Rose,Woody Allen; Janet Margolin; Marcel Hillaire,,7.2,"15,614","$1,500,000 ",,,,13-Mar-71
Hercules in New York,75,Adventure; Family; Fantasy,25-Feb-70,Aubrey Wisberg,Arnold Stang; Arnold Schwarzenegger; Deborah Loomis,,2.9,"11,363",,,,G,25-Feb-70
Fellini Satyricon,128,Drama,11-Mar-70,Petronius; Federico Fellini,Martin Potter; Hiram Keller; Max Born,,6.7,"8,446","$3,000,000 ",,,R,11-Mar-70
Guns of the Magnificent Seven,105,Western,14-Jul-69,Herman Hoffman,George Kennedy; James Whitmore; Monte Markham,,5.4,"1,036",,,,G,14-Jul-69
Women in Love,131,Drama; Romance,25-Mar-70,D.H. Lawrence; Larry Kramer,Alan Bates; Oliver Reed; Glenda Jackson,,7.3,"3,486","$1,250,000 ",,"$4,500,000 ",R,25-Mar-70
Marooned,134,Adventure; Drama; Sci-Fi,11-Dec-69,Mayo Simon; Martin Caidin,Gregory Peck; Richard Crenna; David Janssen,,5.6,"2,388","$8,000,000 ","$4,350,000 ",,G,11-Dec-69
The Prime of Miss Jean Brodie,116,Comedy; Drama; Romance,27-Jun-69,Muriel Spark; Jay Presson Allen,Maggie Smith; Robert Stephens; Pamela Franklin,,7.7,"4,370",,,,,27-Jun-69
Venus in Furs,86,Fantasy; Thriller,19-Aug-69,Milo G. Cuccia; Carlo Fadda,James Darren; Barbara McNair; Maria Rohm,,5.5,955,,,,R,19-Aug-69
"They Shoot Horses, Don't They?",129,Drama,13-Aug-70,Horace McCoy; James Poe,Jane Fonda; Michael Sarrazin; Susannah York,,7.8,"8,996",,,,,13-Aug-70
Eagles Over London,100,Drama; War,Jan-73,Tito Carpi; Vincenzo Flamini,Frederick Stafford; Van Johnson; Francisco Rabal,,5.4,245,,,,PG,Jan-73
Blue Movie,105,Drama; Romance,10-Feb-72,Andy Warhol,Viva; Louis Waldon,,4.7,150,"$3,000 ",,,,10-Feb-72
Bob &amp; Carol &amp; Ted &amp; Alice,105,Comedy; Drama,16-Jan-70,Paul Mazursky; Larry Tucker,Natalie Wood; Elliott Gould; Dyan Cannon,,6.5,"2,759","$2,000,000 ","$30,000,000 ",,R,16-Jan-70
The Damned,156,Drama,18-Dec-69,Nicola Badalucco; Enrico Medioli,Dirk Bogarde; Ingrid Thulin; Helmut Griem,,7.4,"3,789",,,,R,18-Dec-69
Anne of the Thousand Days,145,Drama; History,18-Dec-69,Bridget Boland; John Hale,Richard Burton; Genevive Bujold; Irene Papas,,7.4,"3,689",,,,,18-Dec-69
Support Your Local Sheriff!,92,Comedy; Western,26-Mar-69,William Bowers,James Garner; Joan Hackett; Walter Brennan,,7.4,"5,449",,,,G,26-Mar-69
"Goodbye, Columbus",102,Comedy; Drama; Romance,21-May-69,Philip Roth; Arnold Schulman,Richard Benjamin; Ali MacGraw; Jack Klugman,,6.5,979,,,,R,21-May-69
99 Women,86,Action; Drama; Horror,23-Apr-69,Anya Corvin; Milo G. Cuccia,Maria Schell; Herbert Lom; Mercedes McCambridge,,4.8,612,,,,,23-Apr-69
Deadly Sanctuary,90,Drama; Horror,3-Apr-69,Harry Alan Towers,Klaus Kinski; Romina Power; Maria Rohm,,5.3,718,,,,R,3-Apr-69
More,110,Drama; Romance; Crime,21-Oct-69,Eugne Archer; Mimsy Farmer,Mimsy Farmer; Klaus Grnberg; Heinz Engelmann,,6.4,"1,033",,,,,21-Oct-69
Charro!,98,Western,13-Mar-69,Charles Marquis Warren; Frederick Louis Fox,Elvis Presley; Ina Balin; Victor French,,5.3,804,"$1,500,000 ",,,G,13-Mar-69
Sweet Charity,149,Comedy; Drama; Music,19-Jun-69,Neil Simon; Federico Fellini,Shirley MacLaine; John McMartin; Ricardo Montalban,,6.8,"2,311","$20,000,000 ",,,G,19-Jun-69
Death of a Gunfighter,100,Western,Apr-69,Joseph Calvelli; Lewis B. Patten,Richard Widmark; Lena Horne; Carroll O'Connor,,6.3,521,,,,,Apr-69
Cactus Flower,103,Comedy; Romance,16-Dec-69,Abe Burrows; Pierre Barillet,Walter Matthau; Ingrid Bergman; Goldie Hawn,,7,"4,609","$3,000,000 ",,,,16-Dec-69
My Night at Maud's,105,Drama,22-Mar-70,Eric Rohmer,Jean-Louis Trintignant; Franoise Fabian; Marie-Christine Barrault,,7.9,"4,027",,,,PG,22-Mar-70
The Undefeated,119,Western,27-Nov-69,James Lee Barrett; Stanley Hough,John Wayne; Rock Hudson; Antonio Aguilar,,6.4,"2,585",,,,G,27-Nov-69
Age of Consent,98,Biography; Comedy; Drama,14-May-69,Norman Lindsay; Peter Yeldham,James Mason; Helen Mirren; Jack MacGowran,,6.4,"1,180",,,,R,14-May-69
Change of Habit,93,Crime; Drama; Music,21-Jan-70,James Lee; S.S. Schweitzer,Elvis Presley; Mary Tyler Moore; Barbara McNair,,5.3,"1,110",,,,G,21-Jan-70
The Swimming Pool,120,Crime; Drama,Aug-70,Jean-Claude Carrire; Jacques Deray,Alain Delon; Romy Schneider; Maurice Ronet,,6.8,"2,543",,,,GP,Aug-70
The Computer Wore Tennis Shoes,91,Family; Comedy,31-Dec-69,Joseph L. McEveety,Kurt Russell; Cesar Romero; Joe Flynn,,5.7,"2,090",,,,G,31-Dec-69
Play Dirty,118,Adventure; Drama; War,1-Jan-69,Melvyn Bragg; Lotte Colin,Michael Caine; Nigel Davenport; Nigel Green,,6.7,"1,422",,,,,1-Jan-69
100 Rifles,110,Adventure; War; Western,26-Mar-69,Clair Huffaker; Tom Gries,Jim Brown; Raquel Welch; Burt Reynolds,,5.8,"1,263",,,,R,26-Mar-69
Carry on Camping,88,Comedy,20-Jun-69,Talbot Rothwell,Sid James; Charles Hawtrey; Joan Sims,,6.2,"2,309",,,,R,20-Jun-69
The Bridge at Remagen,115,Action; Drama; War,23-Oct-69,Richard Yates; William Roberts,George Segal; Robert Vaughn; Ben Gazzara,,6.6,"4,163",,,,,23-Oct-69
Medea,110,Drama; Fantasy,27-Dec-69,Pier Paolo Pasolini,Maria Callas; Massimo Girotti; Laurent Terzieff,,6.9,"1,811",,,,,27-Dec-69
Burn!,112,Action; Drama; Thriller,21-Oct-70,Franco Solinas; Giorgio Arlorio,Marlon Brando; Evaristo Mrquez; Norman Hill,72/100,7,"2,302",,,,R,21-Oct-70
The Passion of Anna,101,Drama,28-May-70,Ingmar Bergman,Max von Sydow; Liv Ullmann; Bibi Andersson,,7.6,"3,691",,,,R,28-May-70
Alice's Restaurant,111,Comedy; Drama,20-Aug-69,Arlo Guthrie; Venable Herndon,Arlo Guthrie; Patricia Quinn; James Broderick,,6.2,"2,579",,"$6,300,000 ",,R,20-Aug-69
That Cold Day in the Park,113,Drama,8-Jun-69,Gillian Freeman; Peter Miles,Sandy Dennis; Michael Burns; Susanne Benton,,6.9,424,"$500,000 ",,,R,8-Jun-69
Downhill Racer,101,Drama; Sport,2-Feb-70,Oakley Hall; James Salter,Robert Redford; Gene Hackman; Camilla Sparv,,6.1,"1,874",,,,,2-Feb-70
The Bed Sitting Room,90,Comedy; Sci-Fi,2-Jan-70,John Antrobus; Charles Wood,Rita Tushingham; Ralph Richardson; Peter Cook,,6.2,"1,037",,,,,2-Jan-70
La femme infidle,98,Crime; Drama,10-Nov-69,Claude Chabrol,Stphane Audran; Michel Bouquet; Michel Duchaussoy,,7.4,"1,967",,,,,10-Nov-69
Oh! What a Lovely War,144,Musical; War,3-Oct-69,Charles Chilton; Len Deighton,Wendy Allnutt; Colin Farrell; Malcolm McFee,,6.9,"1,407",,,,G,3-Oct-69
The Battle of Neretva,102,Drama; War,3-Dec-69,Stevan Bulajic; Veljko Bulajic,Yul Brynner; Hardy Krger; Franco Nero,,6.8,"1,460","$71,015,000 ",,,G,3-Dec-69
The Secret of Santa Vittoria,139,Comedy; Drama; War,27-Feb-70,Robert Crichton; Ben Maddow,Anthony Quinn; Anna Magnani; Virna Lisi,,7.1,"1,345",,,,PG-13,27-Feb-70
Putney Swope,84,Comedy,10-Jul-69,Robert Downey Sr.,Stan Gottlieb; Allen Garfield; Archie Russell,,6.6,"1,318","$200,000 ",,,R,10-Jul-69
Flareup,100,Thriller,6-Aug-70,Mark Rodgers,Raquel Welch; James Stacy; Luke Askew,,4.9,106,,,,PG-13,6-Aug-70
The Sicilian Clan,122,Crime; Drama,1-Dec-69,Auguste Le Breton; Henri Verneuil,Jean Gabin; Alain Delon; Lino Ventura,,7.2,"2,775",,,,GP,1-Dec-69
The Illustrated Man,103,Sci-Fi,26-Mar-69,Ray Bradbury; Howard B. Kreitsek,Rod Steiger; Claire Bloom; Robert Drivas,,5.9,"1,592",,,,,26-Mar-69
The Magic Christian,92,Comedy,12-Dec-69,Terry Southern; Joseph McGrath,Peter Sellers; Ringo Starr; Isabel Jeans,,6,"1,936",,,,,12-Dec-69
Blind Beast,86,Drama; Horror,Apr-69,Rampo Edogawa; Yoshio Shirasaka,Eiji Funakoshi; Mako Midori; Noriko Sengoku,,7.1,"1,701",,,,,Apr-69
Medium Cool,111,Drama,1970,Haskell Wexler,Robert Forster; Verna Bloom; Peter Bonerz,,7.3,"1,575","$800,000 ",,,R,1970
The Milky Way,105,Comedy; Drama,15-Mar-69,Luis Buuel; Jean-Claude Carrire,Paul Frankeur; Laurent Terzieff; Alain Cuny,,7.6,"3,399",,,,,15-Mar-69
Sam Whiskey,96,Comedy; Western,1-Apr-69,William W. Norton,Burt Reynolds; Clint Walker; Ossie Davis,,5.7,505,,,,PG-13,1-Apr-69
Mississippi Mermaid,123,Crime; Drama; Romance,18-Jun-69,Cornell Woolrich; Franois Truffaut,Jean-Paul Belmondo; Catherine Deneuve; Nelly Borgeaud,,7,"2,970","$1,600,000 ","$26,893 ","$1,300,000 ",GP,18-Jun-69
Marlowe,96,Mystery; Crime; Drama,31-Oct-69,Raymond Chandler; Stirling Silliphant,James Garner; Gayle Hunnicutt; Carroll O'Connor,,6.2,"1,427",,,,,31-Oct-69
"If It's Tuesday, This Must Be Belgium",99,Adventure; Comedy; Romance,24-Apr-69,David Shaw; David Shaw,Suzanne Pleshette; Ian McShane; Mildred Natwick,,6.1,870,,,,,24-Apr-69
Boot Hill,87,Western; Comedy,20-Dec-69,Giuseppe Colizzi,Terence Hill; Woody Strode; Bud Spencer,,5.3,"1,447",,,,PG,20-Dec-69
John and Mary,92,Drama; Romance,14-Dec-69,John Mortimer; Mervyn Jones,Dustin Hoffman; Mia Farrow; Michael Tolan,,6.4,"1,023",,,,R,14-Dec-69
The Brain,100,Comedy; Crime,13-Nov-69,Marcel Jullian; Grard Oury,Jean-Paul Belmondo; Bourvil; David Niven,,6.7,"1,680",,,,G,13-Nov-69
Damernes ven,75,Family,29-Aug-69,Bob Ramsing; Soya,Bodil Udsen; Lily Broberg; Sigrid Horne-Rasmussen,,2.3,6,,,,,29-Aug-69
Sabata,111,Western,16-Sep-69,Renato Izzo; Gianfranco Parolini,Lee Van Cleef; William Berger; Ignazio Spalla,,6.7,"2,036",,,"$3,000,000 ",PG-13,16-Sep-69
The Rain People,101,Drama,27-Aug-69,Francis Ford Coppola,James Caan; Shirley Knight; Robert Duvall,,6.9,"1,430","$750,000 ",,,R,27-Aug-69
Last Summer,95,Drama,10-Jun-69,Evan Hunter; Eleanor Perry,Barbara Hershey; Richard Thomas; Bruce Davison,,6.8,971,,,,,10-Jun-69
What Ever Happened to Aunt Alice?,101,Crime; Drama; Horror,20-Aug-69,Theodore Apstein; Ursula Curtiss,Geraldine Page; Ruth Gordon; Rosemary Forsyth,,6.9,969,,,,,20-Aug-69
Journey to the Far Side of the Sun,101,Sci-Fi,11-Nov-69,Gerry Anderson; Sylvia Anderson,Roy Thinnes; Ian Hendry; Patrick Wymark,,6.3,"1,564",,,,G,11-Nov-69
The Love Factor,84,Comedy; Fantasy; Sci-Fi,22-Jun-75,Michael Cort; Alistair McKenzie,James Robertson Justice; Charles Hawtrey; Robin Hawdon,,4.4,222,,,,R,22-Jun-75
The Arrangement,125,Drama,18-Nov-69,Elia Kazan; Elia Kazan,Kirk Douglas; Faye Dunaway; Deborah Kerr,,6.4,"1,151",,,,R,18-Nov-69
Nerosubianco,77,Comedy,26-Feb-69,Tinto Brass; Gian Carlo Fusco,Anita Sanders; Terry Carter; Nino Segurini,,5.7,111,,,,,26-Feb-69
Brilliantovaya ruka,100,Adventure; Comedy; Crime,Nov-98,Leonid Gaidai; Yakov Kostyukovsky,Yuri Nikulin; Nina Grebeshkova; Andrey Mironov,,7.9,"5,043",,,,,Nov-98
Tell Them Willie Boy Is Here,98,Drama; Western,31-Oct-69,Harry Lawton; Abraham Polonsky,Robert Redford; Katharine Ross; Robert Blake,,6.4,"1,380",,,,,31-Oct-69
"Me, Natalie",111,Comedy; Drama,6-Feb-70,A. Martin Zweiback; Stanley Shapiro,Patty Duke; James Farentino; Martin Balsam,,6.6,450,,,,,6-Feb-70
The Valley of Gwangi,96,Western; Sci-Fi; Thriller,25-Jul-69,William Bast; Julian More,James Franciscus; Gila Golan; Richard Carlson,,6,"1,722",,,,G,25-Jul-69
The Red Tent,158,Adventure; Drama,23-Dec-69,Richard DeLong Adams; Ennio De Concini,Sean Connery; Claudia Cardinale; Hardy Krger,,6.8,883,"$10,000,000 ",,,G,23-Dec-69
Hard Contract,106,Drama; Mystery,23-Jun-69,S. Lee Pogostin,James Coburn; Lee Remick; Lilli Palmer,,5.8,244,,,,R,23-Jun-69
"Goodbye, Mr. Chips",155,Drama; Musical; Romance,9-Dec-69,James Hilton; Terence Rattigan,Peter O'Toole; Petula Clark; Michael Redgrave,,6.7,"1,605","$9,000,000 ",,,G,9-Dec-69
Ring of Bright Water,107,Comedy; Drama,21-Dec-73,Jack Couffer; Bill Travers,Bill Travers; Virginia McKenna; Peter Jeffrey,,6.9,812,,,,G,21-Dec-73
My Side of the Mountain,100,Adventure; Family,25-Jun-69,Joanna Crawford; Jean George,Ted Eccles; Theodore Bikel; Tudi Wiggins,,6.4,409,,,,G,25-Jun-69
A Boy Named Charlie Brown,86,Animation; Comedy; Drama,4-Dec-69,Charles M. Schulz; Charles M. Schulz,Peter Robbins; Pamelyn Ferdin; Glenn Gilger,,7.1,"2,180",,,,G,4-Dec-69
Cuore di mamma,92,Drama,29-Jan-69,Sergio Bazzini; Dacia Maraini,Carla Gravina; Philippe Leroy; Beba Loncar,,6.5,52,,,,,29-Jan-69
Gaav,105,Drama,Dec-74,Dariush Mehrjui; Gholam-Hossein Saedi,Ezzatolah Entezami; Mahin Shahabi; Ali Nassirian,,7.7,"2,592",,,,,Dec-74
The Cremator,95,Comedy; Drama; Horror,14-Mar-69,Ladislav Fuks; Ladislav Fuks,Rudolf Hrusnsk; Vlasta Chramostov; Jana Stehnov,,7.8,"2,752",,,,,14-Mar-69
The AristoCats,78,Animation; Adventure; Comedy,24-Dec-70,Larry Clemmons; Vance Gerry,Phil Harris; Eva Gabor; Sterling Holloway,,7,"29,960","$4,000,000 ","$17,452,658 ",,G,24-Dec-70
Love Story,99,Drama; Romance,16-Dec-70,Erich Segal,Ali MacGraw; Ryan O'Neal; John Marley,84/100,6.7,"16,224","$2,200,000 ","$31,762,813 ",,PG,16-Dec-70
MASH,116,Comedy; War; Drama,Mar-70,Richard Hooker; Ring Lardner Jr.,Donald Sutherland; Elliott Gould; Tom Skerritt,79/100,7.7,"39,749","$3,500,000 ","$73,200,000 ",,R,Mar-70
Kelly's Heroes,144,Action; Adventure; Comedy,23-Jun-70,Troy Kennedy-Martin,Clint Eastwood; Telly Savalas; Don Rickles,,7.5,"23,142",,,,GP,23-Jun-70
Patton,172,Biography; Drama; History,2-Apr-70,Francis Ford Coppola; Edmund H. North,George C. Scott; Karl Malden; Stephen Young,91/100,8,"56,393","$12,000,000 ","$61,700,000 ",,GP,2-Apr-70
Beneath the Planet of the Apes,95,Action; Adventure; Sci-Fi,26-May-70,Paul Dehn; Mort Abrahams,James Franciscus; Kim Hunter; Maurice Evans,,6.1,"19,539","$3,000,000 ","$17,489,009 ",,G,26-May-70
Little Big Man,139,Adventure; Drama; History,23-Dec-70,Thomas Berger; Calder Willingham,Dustin Hoffman; Faye Dunaway; Chief Dan George,63/100,7.6,"19,782","$15,000,000 ","$31,559,552 ",,PG-13,23-Dec-70
Deep End,88,Comedy; Drama; Romance,1971,Jerzy Skolimowski; Jerzy Gruza,Jane Asher; John Moulder-Brown; Karl Michael Vogler,,7.2,"2,167",,,,R,1971
Five Easy Pieces,98,Drama,12-Sep-70,Carole Eastman; Carole Eastman,Jack Nicholson; Karen Black; Billy Green Bush,,7.5,"17,364","$1,600,000 ","$18,099,091 ",,R,12-Sep-70
Tora! Tora! Tora!,144,Action; Adventure; Drama,23-Sep-70,Larry Forrester; Hideo Oguni,Martin Balsam; S Yamamura; Joseph Cotten,,7.4,"17,613","$25,000,000 ","$14,500,000 ",,G,23-Sep-70
Catch-22,122,Comedy; War,24-Jun-70,Joseph Heller; Buck Henry,Alan Arkin; Martin Balsam; Richard Benjamin,,7.1,"12,822","$18,000,000 ",,,R,24-Jun-70
Beyond the Valley of the Dolls,109,Comedy; Drama; Music,17-Jun-70,Roger Ebert; Roger Ebert,Dolly Read; Cynthia Myers; Marcia McBroom,,5.9,"5,814","$900,000 ","$9,000,000 ",,NC-17,17-Jun-70
Airport,137,Drama; Thriller,5-Mar-70,Arthur Hailey; George Seaton,Burt Lancaster; Dean Martin; Jean Seberg,,6.5,"9,371","$10,000,000 ","$100,489,150 ",,G,5-Mar-70
Two Mules for Sister Sara,116,Action; Adventure; Comedy,16-Jun-70,Budd Boetticher; Albert Maltz,Shirley MacLaine; Clint Eastwood; Manuel Fbregas,,6.9,"10,764",,,,,16-Jun-70
My Name Is Trinity,106,Comedy; Western,4-Nov-71,Enzo Barboni,Terence Hill; Bud Spencer; Steffen Zacharias,,7.1,"8,286",,,,G,4-Nov-71
El topo,125,Western,15-Apr-71,Alejandro Jodorowsky,Alejandro Jodorowsky; Brontis Jodorowsky; Jos Legarreta,,7.3,"10,806","$400,000 ",,,,15-Apr-71
The Conformist,111,Drama,22-Oct-70,Alberto Moravia; Bernardo Bertolucci,Jean-Louis Trintignant; Stefania Sandrelli; Gastone Moschin,100/100,8,"10,606","$750,000 ",,,R,22-Oct-70
Colossus: The Forbin Project,100,Sci-Fi; Thriller,10-Jul-70,James Bridges; D.F. Jones,Eric Braeden; Susan Clark; Gordon Pinsent,,7.1,"3,873",,,,,10-Jul-70
Ryan's Daughter,206,Drama; Romance,17-Dec-70,Robert Bolt,Robert Mitchum; Trevor Howard; Christopher Jones,,7.4,"4,357","$15,000,000 ",,,R,17-Dec-70
Zabriskie Point,110,Drama; Romance,9-Feb-70,Michelangelo Antonioni; Michelangelo Antonioni,Mark Frechette; Daria Halprin; Paul Fix,,6.9,"7,173","$7,000,000 ","$891,918 ",,R,9-Feb-70
Performance,105,Crime; Drama; Music,4-Sep-70,Donald Cammell,James Fox; Mick Jagger; Anita Pallenberg,,6.9,"4,531",,,,R,4-Sep-70
A Man Called Horse,114,Adventure; Drama; Western,May-70,Jack DeWitt; Dorothy M. Johnson,Richard Harris; Judith Anderson; Jean Gascon,,6.9,"4,426",,,,R,May-70
Chisum,111,Biography; Western,29-Jul-70,Andrew J. Fenady,John Wayne; Forrest Tucker; Christopher George,,6.6,"4,253",,"$6,000,000 ",,G,29-Jul-70
Rio Lobo,114,Adventure; Western; Romance,18-Dec-70,Burton Wohl; Leigh Brackett,John Wayne; Jorge Rivero; Jennifer O'Neill,,6.6,"4,584","$4,000,000 ",,,G,18-Dec-70
Tristana,95,Drama,29-Apr-70,Julio Alejandro; Luis Buuel,Catherine Deneuve; Fernando Rey; Franco Nero,93/100,7.6,"4,304",,"$12,686 ",,PG-13,29-Apr-70
Waterloo,123,Action; Drama; History,29-Oct-70,H.A.L. Craig; Sergey Bondarchuk,Rod Steiger; Christopher Plummer; Orson Welles,,7.1,"4,019","$25,000,000 ",,,G,29-Oct-70
