Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
The Machinist,101,Drama; Thriller,Eric Bress,Scott Kosar,Christian Bale; Jennifer Jason Leigh; Aitana Snchez-Gijn,61,7.7,166829,5000000,1082715,R,17-Dec-04
The Bourne Supremacy,108,Action; Crime; Thriller,Paul Greengrass,Robert Ludlum; Tony Gilroy,Matt Damon; Franka Potente; Joan Allen,73,7.7,210119,7.50E+07,1.76E+08,PG-13,23-Jul-04
Million Dollar Baby,132,Drama; Sport,Oliver Hirschbiegel,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,86,8.1,269474,3.00E+07,1.00E+08,PG-13,28-Jan-05
Shaun of the Dead,99,Comedy; Horror,Jeff Schaffer,Simon Pegg; Edgar Wright,Simon Pegg; Nick Frost; Kate Ashfield,76,8,241547,&#163;4000000,1.35E+07,R,24-Sep-04
The Day After Tomorrow,124,Action; Adventure; Drama,Roland Emmerich,Roland Emmerich; Roland Emmerich,Dennis Quaid; Jake Gyllenhaal; Emmy Rossum,47,6.3,198761,1.25E+08,1.87E+08,PG-13,28-May-04
"I, Robot",115,Action; Mystery; Sci-Fi,Sam Raimi,Jeff Vintar; Akiva Goldsman,Will Smith; Bridget Moynahan; Bruce Greenwood,59,7,220828,1.20E+08,1.45E+08,PG-13,16-Jul-04
The Butterfly Effect,113,Sci-Fi; Thriller,Clint Eastwood,J. Mackye Gruber; Eric Bress,Ashton Kutcher; Amy Smart; Melora Walters,30,7.7,220020,1.30E+07,5.77E+07,R,23-Jan-04
Spider-Man 2,127,Action; Adventure; Fantasy,Jon Turteltaub,Stan Lee; Steve Ditko,Tobey Maguire; Kirsten Dunst; Alfred Molina,83,7.4,234058,2.00E+08,3.74E+08,PG-13,30-Jun-04
Collateral,120,Crime; Drama; Thriller,David Twohy,Stuart Beattie,Tom Cruise; Jamie Foxx; Jada Pinkett Smith,71,7.6,198016,6.50E+07,1.00E+08,R,6-Aug-04
Dawn of the Dead,101,Action; Horror; Sci-Fi,Joel Schumacher,George A. Romero; James Gunn,Sarah Polley; Ving Rhames; Mekhi Phifer,58,7.4,129143,2.80E+07,5.89E+07,R,19-Mar-04
EuroTrip,93,Adventure; Comedy,Michael Mann,Alec Berg; David Mandel,Scott Mechlowicz; Jacob Pitts; Michelle Trachtenberg,45,6.5,107827,2.50E+07,1.77E+07,R,20-Feb-04
Downfall,156,Biography; Drama; History,Tony Scott,Bernd Eichinger; Joachim Fest,Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes,82,8.3,150435,&#8364;13500000,5501940,R,16-Sep-04
National Treasure,131,Action; Adventure; Mystery,Rawson Marshall Thurber,Jim Kouf; Cormac Wibberley,Nicolas Cage; Diane Kruger; Justin Bartha,39,6.8,164133,1.00E+08,1.73E+08,PG,19-Nov-04
Saw,103,Crime; Horror; Mystery,Peter Segal,Leigh Whannell; James Wan,Cary Elwes; Leigh Whannell; Danny Glover,46,7.7,191648,1200000,5.52E+07,NC-17,29-Oct-04
Man on Fire,146,Action; Drama; Thriller,Kevin Bray,A.J. Quinnell; Brian Helgeland,Denzel Washington; Christopher Walken; Dakota Fanning,47,7.7,167162,7.00E+07,7.79E+07,R,23-Apr-04
Dodgeball: A True Underdog Story,92,Comedy; Sport,James Wan,Rawson Marshall Thurber,Ben Stiller; Christine Taylor; Vince Vaughn,55,6.6,113556,2.00E+07,1.14E+08,PG-13,18-Jun-04
50 First Dates,99,Comedy; Romance,Gary Winick,George Wing,Adam Sandler; Drew Barrymore; Rob Schneider,48,6.7,163578,7.50E+07,1.21E+08,PG-13,13-Feb-04
Shrek 2,93,Animation; Adventure; Comedy,Martin Scorsese,William Steig; Andrew Adamson,Mike Myers; Eddie Murphy; Cameron Diaz,75,7.3,187286,1.50E+08,4.36E+08,PG,19-May-04
Garden State,102,Comedy; Drama; Romance,Steven Soderbergh,Zach Braff,Zach Braff; Natalie Portman; Peter Sarsgaard,67,7.6,143670,2500000,2.68E+07,R,22-Sep-04
Ocean's Twelve,125,Crime; Thriller,Antoine Fuqua,George Nolfi; George Clayton Johnson,George Clooney; Brad Pitt; Julia Roberts,58,6.3,174236,1.10E+08,1.26E+08,PG-13,10-Dec-04
Lemony Snicket's A Series of Unfortunate Events,108,Adventure; Comedy; Family,Zach Braff,Robert Gordon; Daniel Handler,Jim Carrey; Jude Law; Meryl Streep,62,6.8,102539,1.40E+08,1.19E+08,PG,17-Dec-04
Van Helsing,131,Action; Adventure; Fantasy,Marc Forster,Stephen Sommers,Hugh Jackman; Kate Beckinsale; Richard Roxburgh,35,5.8,120034,1.60E+08,1.20E+08,PG-13,7-May-04
The Phantom of the Opera,143,Drama; Musical; Romance,Mike Nichols,Gaston Leroux; Andrew Lloyd Webber,Gerard Butler; Emmy Rossum; Patrick Wilson,40,7.2,67930,7.00E+07,5.12E+07,PG-13,21-Jan-05
Howl's Moving Castle,119,Animation; Action; Adventure,Brad Silberling,Hayao Miyazaki; Diana Wynne Jones,Chieko Baish; Takuya Kimura; Tatsuya Gashin,80,8.1,105017,,4710455,PG,17-Jun-05
13 Going on 30,98,Comedy; Fantasy; Romance,Steven Spielberg,Josh Goldsmith; Cathy Yuspa,Jennifer Garner; Mark Ruffalo; Judy Greer,57,6,68899,3.70E+07,5.60E+07,PG-13,23-Apr-04
The Punisher,124,Action; Crime; Drama,Andrew Adamson,Jonathan Hensleigh; Michael France,Thomas Jane; John Travolta; Samantha Mathis,33,6.3,85699,3.30E+07,3.37E+07,R,16-Apr-04
Alexander,175,Action; Adventure; Biography,Hayao Miyazaki,Oliver Stone; Christopher Kyle,Colin Farrell; Anthony Hopkins; Rosario Dawson,39,5.4,97832,1.55E+08,3.43E+07,R,24-Nov-04
The Terminal,128,Comedy; Drama,Stephen Sommers,Andrew Niccol; Sacha Gervasi,Tom Hanks; Catherine Zeta-Jones; Chi McBride,55,7.2,176056,6.00E+07,7.70E+07,PG-13,18-Jun-04
Closer,104,Drama; Romance,Kevin Smith,Patrick Marber; Patrick Marber,Natalie Portman; Jude Law; Clive Owen,65,7.3,122144,2.70E+07,3.40E+07,R,3-Dec-04
Hellboy,122,Action; Adventure; Fantasy,Terry George,Guillermo del Toro; Guillermo del Toro,Ron Perlman; Doug Jones; Selma Blair,72,6.8,153082,6.60E+07,5.90E+07,PG-13,2-Apr-04
A Cinderella Story,95,Comedy; Family; Romance,Zack Snyder,Leigh Dunlap,Hilary Duff; Chad Michael Murray; Jennifer Coolidge,25,5.6,34857,2.00E+07,5.14E+07,PG,16-Jul-04
Hotel Rwanda,121,Biography; Drama; History,Danny Leiner,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,79,8.2,162012,1.75E+07,2.35E+07,PG-13,4-Feb-05
Layer Cake,105,Crime; Drama; Thriller,Guillermo del Toro,J.J. Connolly; J.J. Connolly,Daniel Craig; Sienna Miller; Michael Gambon,73,7.3,87144,&#163;4000000,2338695,R,1-Oct-04
Team America: World Police,98,Action; Adventure; Comedy,Alexander Witt,Trey Parker; Matt Stone,Trey Parker; Matt Stone; Elle Russ,64,7.1,95786,3.00E+07,3.28E+07,R,15-Oct-04
King Arthur,126,Action; Adventure; Drama,Matthew Vaughn,David Franzoni,Clive Owen; Stephen Dillane; Keira Knightley,46,6.2,90402,1.20E+08,5.19E+07,PG-13,7-Jul-04
Shark Tale,90,Animation; Adventure; Comedy,Jay Roach,Michael J. Wilson; Rob Letterman,Will Smith; Robert De Niro; Rene Zellweger,48,5.9,82070,7.50E+07,1.61E+08,PG,1-Oct-04
Resident Evil: Apocalypse,94,Action; Horror; Sci-Fi,Jonathan Hensleigh,Paul W.S. Anderson,Milla Jovovich; Sienna Guillory; Eric Mabius,35,6,103432,4.50E+07,5.12E+07,R,10-Sep-04
Before Sunset,80,Drama; Romance,D.J. Caruso,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,90,8,83494,1.00E+07,5792822,R,17-Jun-04
Harold &amp; Kumar Go to White Castle,88,Adventure; Comedy,Mark Rosman,Jon Hurwitz; Hayden Schlossberg,John Cho; Kal Penn; Ethan Embry,64,7.1,108693,9000000,1.82E+07,R,30-Jul-04
Friday Night Lights,118,Action; Drama; Sport,Peter Berg,Buzz Bissinger; David Aaron Cohen,Billy Bob Thornton; Jay Hernandez; Derek Luke,70,7.1,31113,3.00E+07,6.12E+07,PG-13,8-Oct-04
Meet the Fockers,115,Comedy; Romance,David S. Goyer,Greg Glienna; Mary Ruth Clarke,Ben Stiller; Robert De Niro; Blythe Danner,41,6.3,139713,8.00E+07,2.79E+08,PG-13,22-Dec-04
Blade: Trinity,113,Action; Adventure; Fantasy,Richard Linklater,David S. Goyer; Marv Wolfman,Wesley Snipes; Kris Kristofferson; Parker Posey,38,5.8,82520,6.50E+07,5.24E+07,R,8-Dec-04
Finding Neverland,106,Biography; Drama; Family,Stephen Chow,Allan Knee; David Magee,Johnny Depp; Kate Winslet; Julie Christie,67,7.8,131513,2.50E+07,5.17E+07,PG,24-Nov-04
Walking Tall,86,Action; Crime,Oliver Stone,Mort Briskin; David Klass,Dwayne Johnson; Ashley Scott; Johnny Knoxville,44,6,34066,5.60E+07,4.59E+07,PG-13,2-Apr-04
Primer,77,Drama; Thriller; Sci-Fi,Robert Zemeckis,Shane Carruth,Shane Carruth; David Sullivan; Casey Gooden,68,6.9,36011,7000,424760,PG-13,27-May-05
The Polar Express,100,Animation; Adventure; Family,Shane Carruth,Chris Van Allsburg; Robert Zemeckis,Tom Hanks; Chris Coppola; Michael Jeter,61,6.5,66573,1.65E+08,451442,,10-Nov-04
The Village,108,Drama; Mystery; Thriller,Bibo Bergeron,M. Night Shyamalan,Sigourney Weaver; William Hurt; Joaquin Phoenix,44,6.5,135647,6.00E+07,1.14E+08,PG-13,30-Jul-04
Secret Window,96,Mystery; Thriller,M. Night Shyamalan,Stephen King; David Koepp,Johnny Depp; Maria Bello; John Turturro,46,6.5,96343,4.00E+07,4.78E+07,PG-13,12-Mar-04
Jersey Girl,102,Comedy; Drama; Romance,Paul W.S. Anderson,Kevin Smith,Ben Affleck; Liv Tyler; Raquel Castro,43,6.1,39815,3.50E+07,2.53E+07,PG-13,26-Mar-04
Sideways,126,Comedy; Drama; Romance,Alexander Payne,Rex Pickett; Alexander Payne,Paul Giamatti; Thomas Haden Church; Virginia Madsen,94,7.6,108335,1.20E+07,7.15E+07,R,21-Jan-05
Taking Lives,103,Mystery; Thriller,Trey Parker,Michael Pye; Jon Bokenkamp,Angelina Jolie; Ethan Hawke; Kiefer Sutherland,38,6,45370,4.50E+07,3.27E+07,R,19-Mar-04
AVP: Alien vs. Predator,101,Action; Adventure; Sci-Fi,Takashi Shimizu,Dan O'Bannon; Ronald Shusett,Sanaa Lathan; Lance Henriksen; Raoul Bova,29,5.5,97240,6.00E+07,8.03E+07,PG-13,13-Aug-04
The Motorcycle Diaries,126,Biography; Drama,Wes Anderson,Ernesto 'Che' Guevara; Alberto Granado,Gael Garca Bernal; Rodrigo De la Serna; Mercedes Morn,75,7.8,59828,,1.68E+07,R,24-Sep-04
The Grudge,92,Horror; Mystery,John Hamburg,Stephen Susco; Takashi Shimizu,Sarah Michelle Gellar; Jason Behr; Clea DuVall,49,5.8,74062,1.00E+07,1.10E+08,PG-13,22-Oct-04
Mysterious Skin,105,Drama,Joe Johnston,Gregg Araki; Scott Heim,Brady Corbet; Joseph Gordon-Levitt; Elisabeth Shue,74,7.7,39202,,697181,NC-17,25-Aug-05
Ray,152,Biography; Drama; Music,Gavin O'Connor,Taylor Hackford; James L. White,Jamie Foxx; Regina King; Kerry Washington,73,7.7,72555,4.00E+07,7.53E+07,PG-13,29-Oct-04
Along Came Polly,90,Comedy; Romance,Taylor Hackford,John Hamburg,Ben Stiller; Jennifer Aniston; Debra Messing,44,5.8,74480,4.20E+07,8.79E+07,PG-13,16-Jan-04
Kung Fu Hustle,99,Action; Comedy; Crime,Jonathan Demme,Man Keung Chan; Stephen Chow,Stephen Chow; Wah Yuen; Qiu Yuen,78,7.7,67851,2.00E+07,1.71E+07,R,22-Apr-05
9 Songs,71,Drama; Music; Romance,Walter Salles,Michael Winterbottom,Kieran O'Brien; Margo Stilley; Huw Bunford,43,4.9,12799,&#163;1000000,49835,,11-Mar-05
The Life Aquatic with Steve Zissou,119,Adventure; Comedy; Drama,Michael Winterbottom,Wes Anderson; Noah Baumbach,Bill Murray; Owen Wilson; Anjelica Huston,62,7.2,87370,5.00E+07,2.40E+07,R,25-Dec-04
The Manchurian Candidate,129,Drama; Mystery; Thriller,Fatih Akin,Richard Condon; George Axelrod,Denzel Washington; Liev Schreiber; Meryl Streep,76,6.6,63029,8.00E+07,6.59E+07,R,30-Jul-04
Wicker Park,114,Drama; Mystery; Romance,Raja Gosnell,Gilles Mimouni; Brandon Boyce,Josh Hartnett; Diane Kruger; Matthew Lillard,40,6.8,32274,3.00E+07,1.28E+07,PG-13,3-Sep-04
Miracle,135,Drama; Family; History,David Koepp,Eric Guggenheim,Kurt Russell; Patricia Clarkson; Nathan West,68,7.4,24700,,6.44E+07,PG,6-Feb-04
Head-On,121,Drama; Romance,Garry Marshall,Fatih Akin,Birol nel; Sibel Kekilli; Catrin Striebeck,78,7.9,28625,,,R,11-Mar-04
Around the World in 80 Days,120,Action; Adventure; Comedy,Gil Junger,Jules Verne; David N. Titcher,Jackie Chan; Steve Coogan; Jim Broadbent,49,5.7,44003,1.10E+08,2.40E+07,PG,16-Jun-04
Catwoman,104,Action; Fantasy,Gregg Araki,Bob Kane; Theresa Rebeck,Halle Berry; Sharon Stone; Benjamin Bratt,27,3.2,59312,1.00E+08,4.02E+07,PG-13,23-Jul-04
Starsky &amp; Hutch,101,Comedy; Crime,Chris Stokes,William Blinn; Stevie Long,Ben Stiller; Owen Wilson; Snoop Dogg,55,6,85930,6.00E+07,8.82E+07,PG-13,5-Mar-04
Sky Captain and the World of Tomorrow,106,Action; Adventure; Mystery,David R. Ellis,Kerry Conran,Gwyneth Paltrow; Jude Law; Angelina Jolie,64,6.1,57397,4.00E+07,3.78E+07,PG,17-Sep-04
Ella Enchanted,96,Comedy; Family; Fantasy,Andy Cadiff,Laurie Craig; Karen McCullah Lutz,Anne Hathaway; Hugh Dancy; Cary Elwes,53,6.2,26014,3.50E+07,2.29E+07,PG,9-Apr-04
Chasing Liberty,111,Comedy; Romance,Tommy O'Haver,Derek Guiley; David Schneiderman,Mandy Moore; Matthew Goode; Mark Harmon,46,5.8,18108,2.30E+07,1.22E+07,PG-13,9-Jan-04
The SpongeBob SquarePants Movie,87,Animation; Comedy; Family,James L. Brooks,Stephen Hillenburg; Stephen Hillenburg,Jeffrey Tambor; Rodger Bumpass; Carolyn Lawrence,66,6.8,33466,3.00E+07,8.54E+07,PG,19-Nov-04
Cellular,94,Action; Crime; Drama,Kerry Conran,Larry Cohen; Chris Morgan,Kim Basinger; Chris Evans; Jason Statham,60,6.5,56797,2.50E+07,3.20E+07,PG-13,10-Sep-04
Mindhunters,106,Crime; Mystery; Thriller,Todd Phillips,Wayne Kramer; Wayne Kramer,Val Kilmer; LL Cool J; Christian Slater,33,6.3,36181,2.70E+07,4480744,R,13-May-05
Spanglish,131,Comedy; Drama; Romance,Renny Harlin,James L. Brooks,Adam Sandler; Ta Leoni; Paz Vega,48,6.5,47957,8.00E+07,4.20E+07,PG-13,17-Dec-04
2046,129,Drama; Fantasy; Romance,Joe Nussbaum,Kar Wai Wong,Tony Leung Chiu Wai; Ziyi Zhang; Faye Wong,78,7.4,30260,1.20E+07,261481,R,29-Sep-04
The Prince and Me,111,Comedy; Romance,Stephen Hillenburg,Mark Amin; Katherine Fugate,Julia Stiles; Luke Mably; Miranda Richardson,47,5.7,19285,,2.82E+07,PG,2-Apr-04
Sleepover,89,Comedy,Alejandro Amenbar,Elisa Bell,Alexa Vega; Mika Boorem; Scout Taylor-Compton,33,4.8,8317,1.00E+07,9436390,PG,9-Jul-04
The Princess Diaries 2: Royal Engagement,113,Comedy; Drama; Family,Pierre Morel,Meg Cabot; Gina Wendkos,Anne Hathaway; Callum Blue; Julie Andrews,43,5.3,27003,4.00E+07,9.51E+07,G,11-Aug-04
A Very Long Engagement,133,Drama; Mystery; Romance,Jean-Pierre Jeunet,Sbastien Japrisot; Jean-Pierre Jeunet,Audrey Tautou; Gaspard Ulliel; Jodie Foster,76,7.7,46900,4.70E+07,6167817,R,27-Oct-04
Raising Helen,119,Comedy; Drama; Romance,Renny Harlin,Patrick J. Clifton; Beth Rigazio,Kate Hudson; John Corbett; Joan Cusack,38,5.8,20617,,3.75E+07,PG-13,28-May-04
District B13,84,Action; Thriller,Kar Wai Wong,Luc Besson; Bibi Naceri,Cyril Raffaelli; David Belle; Tony D'Amario,70,7.1,37296,&#8364;12000000,1197786,R,10-Nov-04
Hidalgo,136,Action; Adventure; Western,David O. Russell,John Fusco,Viggo Mortensen; Omar Sharif; Zuleikha Robinson,54,6.6,48176,1.00E+08,6.73E+07,PG-13,5-Mar-04
The Chorus,97,Drama; Music,Garry Marshall,Georges Chaperot; Ren Wheeler,Grard Jugnot; Franois Berland; Jean-Baptiste Maunier,56,7.7,27843,&#8364;5500000,3629758,PG-13,17-Mar-04
After the Sunset,97,Action; Comedy; Crime,Brian Dannelly,Paul Zbyszewski; Paul Zbyszewski,Pierce Brosnan; Salma Hayek; Woody Harrelson,38,6.2,28676,5.80E+07,2.83E+07,PG-13,12-Nov-04
Batman Begins,140,Action; Adventure; Crime,Christopher Nolan,Bob Kane; David S. Goyer,Christian Bale; Michael Caine; Ken Watanabe,70,8.3,537949,1.50E+08,2.07E+08,PG-13,15-Jun-05
Star Wars: Episode III - Revenge of the Sith,140,Action; Adventure; Fantasy,James McTeigue,George Lucas,Hayden Christensen; Natalie Portman; Ewan McGregor,68,7.7,299385,1.13E+08,3.80E+08,PG-13,19-May-05
Harry Potter and the Goblet of Fire,157,Adventure; Family; Fantasy,George Lucas,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,81,7.5,228893,1.50E+08,2.90E+08,PG-13,18-Nov-05
V for Vendetta,132,Action; Fantasy; Thriller,Frank Miller,Andy Wachowski; Lana Wachowski,Hugo Weaving; Natalie Portman; Rupert Graves,62,8.2,447864,5.40E+07,7.05E+07,R,17-Mar-06
Sin City,124,Crime; Thriller,Mike Newell,Frank Miller,Mickey Rourke; Clive Owen; Bruce Willis,74,8.2,417566,4.00E+07,7.41E+07,R,1-Apr-05
Pride &amp; Prejudice,127,Drama; Romance,Judd Apatow,Jane Austen; Deborah Moggach,Keira Knightley; Matthew Macfadyen; Brenda Blethyn,82,7.7,115969,2.80E+07,3.84E+07,PG,23-Nov-05
The 40 Year Old Virgin,116,Comedy; Romance,Ridley Scott,Judd Apatow; Steve Carell,Steve Carell; Catherine Keener; Paul Rudd,73,7.3,191027,2.60E+07,1.09E+08,R,19-Aug-05
War of the Worlds,116,Action; Adventure; Drama,Garth Jennings,Josh Friedman; David Koepp,Tom Cruise; Dakota Fanning; Tim Robbins,73,6.5,215182,1.32E+08,2.34E+08,PG-13,29-Jun-05
Charlie and the Chocolate Factory,115,Adventure; Comedy; Family,Joe Wright,Roald Dahl; John August,Johnny Depp; Freddie Highmore; David Kelly,72,6.8,192533,1.50E+08,2.06E+08,PG,15-Jul-05
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,Adventure; Family; Fantasy,Peter Jackson,Ann Peacock; Andrew Adamson,Tilda Swinton; Georgie Henley; William Moseley,75,6.9,181054,1.80E+08,2.92E+08,PG,9-Dec-05
Wedding Crashers,119,Comedy; Romance,Tim Burton,Steve Faber; Bob Fisher,Owen Wilson; Vince Vaughn; Rachel McAdams,64,7,183949,4.00E+07,2.09E+08,R,15-Jul-05
Serenity,119,Action; Adventure; Sci-Fi,Joss Whedon,Joss Whedon,Nathan Fillion; Gina Torres; Chiwetel Ejiofor,74,7.9,168770,4.00E+07,2.53E+07,PG-13,30-Sep-05
Constantine,121,Fantasy; Horror,Ken Kwapis,Jamie Delano; Garth Ennis,Keanu Reeves; Rachel Weisz; Djimon Hounsou,50,6.8,147793,1.00E+08,7.60E+07,R,18-Feb-05
The Sisterhood of the Traveling Pants,119,Comedy; Drama,David Dobkin,Ann Brashares; Delia Ephron,Amber Tamblyn; Alexis Bledel; America Ferrera,66,6.5,29846,2.50E+07,3.90E+07,PG,1-Jun-05
The Hitchhiker's Guide to the Galaxy,109,Adventure; Comedy; Sci-Fi,Andrew Adamson,Douglas Adams; Douglas Adams,Martin Freeman; Mos Def; Sam Rockwell,63,6.7,105208,5.00E+07,5.11E+07,PG,29-Apr-05
Madagascar,86,Animation; Adventure; Comedy,Francis Lawrence,Mark Burton; Billy Frolick,Chris Rock; Ben Stiller; David Schwimmer,57,6.8,142344,7.50E+07,1.93E+08,PG,27-May-05
The Island,136,Action; Adventure; Sci-Fi,Rob McKittrick,Caspian Tredwell-Owen; Alex Kurtzman,Scarlett Johansson; Ewan McGregor; Djimon Hounsou,50,6.8,175720,1.22E+08,3.58E+07,PG-13,22-Jul-05
Kingdom of Heaven,144,Action; Adventure; Drama,Ang Lee,William Monahan,Orlando Bloom; Eva Green; Liam Neeson,63,7.1,141091,1.30E+08,4.74E+07,R,6-May-05
Brokeback Mountain,134,Drama; Romance,Michael Bay,Annie Proulx; Larry McMurtry,Jake Gyllenhaal; Heath Ledger; Michelle Williams,87,7.7,182194,1.40E+07,8.30E+07,R,13-Jan-06
Lord of War,122,Crime; Drama; Thriller,Eric Darnell,Andrew Niccol,Nicolas Cage; Ethan Hawke; Jared Leto,62,7.6,168873,5.00E+07,2.41E+07,R,16-Sep-05
King Kong,187,Action; Adventure; Drama,Tim Story,Fran Walsh; Philippa Boyens,Naomi Watts; Jack Black; Adrien Brody,81,7.3,218874,2.07E+08,2.18E+08,PG-13,14-Dec-05
Fantastic Four,106,Action; Adventure; Fantasy,Louis Leterrier,Mark Frost; Michael France,Ioan Gruffudd; Michael Chiklis; Chris Evans,40,5.7,156989,1.00E+08,1.55E+08,PG-13,8-Jul-05
Four Brothers,109,Action; Crime; Drama,Andy Tennant,David Elliot; Paul Lovett,Mark Wahlberg; Tyrese Gibson; Garrett Hedlund,49,6.8,70442,4.50E+07,7.45E+07,R,12-Aug-05
The Amityville Horror,90,Drama; Horror; Mystery,James Mangold,Scott Kosar; Jay Anson,Ryan Reynolds; Melissa George; Jimmy Bennett,33,5.8,51627,1.90E+07,6.52E+07,R,15-Apr-05
The Exorcism of Emily Rose,119,Crime; Drama; Horror,Lee Tamahori,Paul Harris Boardman; Scott Derrickson,Laura Linney; Tom Wilkinson; Shohreh Aghdashloo,46,6.7,59455,2.00E+07,7.51E+07,PG-13,9-Sep-05
Hitch,118,Comedy; Romance,Andrew Douglas,Kevin Bisch,Will Smith; Eva Mendes; Kevin James,58,6.6,155766,7.00E+07,1.78E+08,PG-13,11-Feb-05
Cheaper by the Dozen 2,94,Adventure; Comedy; Family,Doug Liman,Sam Harper; Craig Titley,Steve Martin; Bonnie Hunt; Hilary Duff,34,5.2,25264,,8.26E+07,PG,21-Dec-05
xXx: State of the Union,101,Action; Crime; Adventure,Steven Spielberg,Rich Wilkes; Simon Kinberg,Ice Cube; Samuel L. Jackson; Willem Dafoe,37,4.1,34488,8.70E+07,2.56E+07,PG-13,29-Apr-05
The Longest Yard,113,Comedy; Crime; Sport,Andrew Niccol,Albert S. Ruddy; Tracy Keenan Wynn,Adam Sandler; Burt Reynolds; Chris Rock,48,6.2,78252,8.20E+07,1.58E+08,PG-13,27-May-05
Walk the Line,136,Biography; Drama; Music,Guy Ritchie,Johnny Cash; Johnny Cash,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin,72,7.9,134474,2.80E+07,1.20E+08,PG-13,18-Nov-05
Transporter 2,87,Action; Crime; Thriller,Peter Segal,Luc Besson; Robert Mark Kamen,Jason Statham; Amber Valletta; Kate Nauta,56,6.2,92392,3.20E+07,4.31E+07,PG-13,2-Sep-05
Mr. &amp; Mrs. Smith,120,Action; Comedy; Romance,Rob Marshall,Simon Kinberg,Brad Pitt; Angelina Jolie; Adam Brody,55,6.4,195063,1.10E+08,1.86E+08,PG-13,10-Jun-05
Kiss Kiss Bang Bang,103,Action; Comedy; Crime,Shane Black,Brett Halliday; Shane Black,Robert Downey Jr.; Val Kilmer; Michelle Monaghan,72,7.7,118545,1.50E+07,4243756,R,14-Sep-05
Coach Carter,136,Drama; Sport,Jason Reitman,Mark Schwahn; John Gatins,Samuel L. Jackson; Rick Gonzalez; Robert Ri'chard,57,7,54108,3.00E+07,6.73E+07,PG-13,14-Jan-05
Green Street Hooligans,109,Crime; Drama; Sport,Scott Derrickson,Lexi Alexander; Dougie Brimson,Elijah Wood; Charlie Hunnam; Claire Forlani,55,7.5,74532,,344095,R,9-Sep-05
Thank You for Smoking,92,Comedy; Drama,John Singleton,Jason Reitman; Christopher Buckley,Aaron Eckhart; Cameron Bright; Maria Bello,71,7.7,136494,6500000,2.48E+07,R,14-Apr-06
Memoirs of a Geisha,145,Drama; Romance,Neil Marshall,Robin Swicord; Arthur Golden,Ziyi Zhang; Ken Watanabe; Michelle Yeoh,54,7.2,80718,8.50E+07,5.70E+07,PG-13,23-Dec-05
Into the Blue,110,Action; Adventure; Crime,Lexi Alexander,Matt Johnson,Paul Walker; Jessica Alba; Scott Caan,45,5.7,42410,5.00E+07,1.85E+07,PG-13,30-Sep-05
Hard Candy,104,Drama; Thriller,Thomas Carter,Brian Nelson,Patrick Wilson; Ellen Page; Sandra Oh,58,7.1,90612,950000,1007962,R,12-May-06
Zathura: A Space Adventure,113,Action; Adventure; Comedy,David Slade,Chris Van Allsburg; David Koepp,Josh Hutcherson; Jonah Bobo; Dax Shepard,67,6.1,38371,6.50E+07,2.80E+07,PG,11-Nov-05
Hostel,94,Horror,John Stockwell,Eli Roth,Jay Hernandez; Derek Richardson; Eythor Gudjonsson,55,5.8,98847,4500000,4.73E+07,R,6-Jan-06
A History of Violence,96,Crime; Drama; Thriller,Rob Bowman,John Wagner; Vince Locke,Viggo Mortensen; Maria Bello; Ed Harris,81,7.6,133901,3.20E+07,3.15E+07,R,30-Sep-05
Nanny McPhee,97,Comedy; Family; Fantasy,Stephen Gaghan,Emma Thompson; Christianna Brand,Emma Thompson; Colin Firth; Angela Lansbury,59,6.5,28804,2.50E+07,4.71E+07,PG,27-Jan-06
The Descent,99,Adventure; Horror,Steven Spielberg,Neil Marshall,Shauna Macdonald; Natalie Mendoza; Alex Reid,71,7.3,99387,&#163;3500000,13361,R,4-Aug-06
The Jacket,103,Drama; Mystery; Sci-Fi,David Cronenberg,Tom Bleecker; Marc Rocco,Adrien Brody; Keira Knightley; Daniel Craig,44,7,65302,2.90E+07,6303762,R,4-Mar-05
Munich,164,Drama; History; Thriller,Mark Dindal,Tony Kushner; Eric Roth,Eric Bana; Daniel Craig; Marie-Jose Croze,74,7.6,129539,7.50E+07,4.74E+07,R,6-Jan-06
Waiting...,94,Comedy,Clement Virgo,Rob McKittrick,Ryan Reynolds; Anna Faris; John Francis Daley,30,6.7,57169,3000000,1.61E+07,R,7-Oct-05
Just Friends,96,Comedy; Romance,Terrence Malick,Adam 'Tex' Davis,Ryan Reynolds; Amy Smart; Anna Faris,47,6.2,54260,,3.26E+07,PG-13,23-Nov-05
Saw II,93,Horror,Tim Burton,Leigh Whannell; Darren Lynn Bousman,Donnie Wahlberg; Beverley Mitchell; Franky G,40,6.5,127677,4000000,8.70E+07,R,28-Oct-05
