Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,MPAA,Date
The League of Extraordinary Gentlemen,110,Action; Adventure; Fantasy,Jonathan Mostow,Alan Moore; Kevin O'Neill,Sean Connery; Stuart Townsend; Peta Wilson,30,5.6,89651,7.80E+07,6.65E+07,PG-13,11-Jul-03
Master and Commander: The Far Side of the World,138,Action; Adventure; Drama,P.J. Hogan,Patrick O'Brian; Peter Weir,Russell Crowe; Paul Bettany; Billy Boyd,81,7.4,118078,1.50E+08,9.39E+07,PG-13,14-Nov-03
The Last Samurai,154,Action; Adventure; Drama,Tom Shadyac,John Logan; John Logan,Tom Cruise; Ken Watanabe; Billy Connolly,55,7.7,201848,1.40E+08,1.11E+08,R,5-Dec-03
The School of Rock,108,Comedy; Music,Robert Rodriguez,Mike White,Jack Black; Mike White; Joan Cusack,82,7,125449,3.50E+07,8.13E+07,PG-13,3-Oct-03
Terminator 3: Rise of the Machines,109,Action; Sci-Fi; Thriller,John Singleton,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Nick Stahl; Kristanna Loken,66,6.4,191263,2.00E+08,1.50E+08,R,2-Jul-03
Freaky Friday,97,Comedy; Family; Fantasy,Catherine Hardwicke,Mary Rodgers; Heather Hach,Jamie Lee Curtis; Lindsay Lohan; Mark Harmon,70,6.1,59463,2.60E+07,1.10E+08,PG,6-Aug-03
Thirteen,100,Biography; Drama,Donald Petrie,Catherine Hardwicke; Nikki Reed,Evan Rachel Wood; Holly Hunter; Nikki Reed,70,6.9,48851,1500000,4599680,R,7-Nov-03
Elf,97,Comedy; Family; Fantasy,Peter Weir,David Berenbaum,Will Ferrell; James Caan; Bob Newhart,64,6.8,86550,3.30E+07,1.73E+08,PG,7-Nov-03
Bruce Almighty,101,Comedy; Drama; Fantasy,Jan de Bont,Steve Koren; Mark O'Keefe,Jim Carrey; Jennifer Aniston; Morgan Freeman,46,6.6,179729,8.10E+07,2.43E+08,PG-13,23-May-03
Bad Boys II,147,Action; Comedy; Crime,Jon Favreau,George Gallo; Marianne Wibberley,Will Smith; Martin Lawrence; Gabrielle Union,38,6.3,113609,1.30E+08,1.38E+08,R,18-Jul-03
Scary Movie 3,84,Comedy,Peter Segal,Craig Mazin; Pat Proft,Anna Faris; Charlie Sheen; Regina Hall,49,5.3,74566,4.50E+07,1.10E+08,PG-13,24-Oct-03
American Wedding,96,Comedy; Romance,Michael Bay,Adam Herz; Adam Herz,Jason Biggs; Alyson Hannigan; Seann William Scott,43,6.1,108041,5.50E+07,1.05E+08,R,1-Aug-03
Holes,117,Adventure; Comedy; Drama,Mark Steven Johnson,Louis Sachar; Louis Sachar,Shia LaBeouf; Sigourney Weaver; Jon Voight,71,7,33985,2.00E+07,6.74E+07,PG,18-Apr-03
The Recruit,115,Action; Crime; Drama,Anthony Minghella,Roger Towne; Kurt Wimmer,Al Pacino; Colin Farrell; Bridget Moynahan,56,6.5,78171,,5.28E+07,PG-13,31-Jan-03
Anger Management,106,Comedy,Stephen Norrington,David Dorfman,Jack Nicholson; Adam Sandler; Marisa Tomei,52,6.1,118828,7.50E+07,1.34E+08,PG-13,11-Apr-03
Cold Creek Manor,118,Drama; Mystery; Thriller,Patty Jenkins,Richard Jefferies,Dennis Quaid; Sharon Stone; Stephen Dorff,37,4.8,14300,,2.14E+07,R,19-Sep-03
Monster,109,Biography; Crime; Drama,David Zucker,Patty Jenkins,Charlize Theron; Christina Ricci; Bruce Dern,74,7.3,69951,8000000,3.45E+07,R,30-Jan-04
Final Destination 2,90,Horror; Mystery,Andrew Davis,J. Mackye Gruber; Eric Bress,A.J. Cook; Ali Larter; Tony Todd,38,6.2,77966,2.60E+07,4.65E+07,R,31-Jan-03
21 Grams,124,Crime; Drama; Thriller,Rob Schmidt,Guillermo Arriaga,Sean Penn; Benicio Del Toro; Naomi Watts,70,7.7,132375,2.00E+07,1.62E+07,R,19-Nov-03
Cheaper by the Dozen,98,Comedy; Family,Peter Berg,Frank B. Gilbreth Jr.; Ernestine Gilbreth Carey,Steve Martin; Bonnie Hunt; Hilary Duff,46,5.7,47344,4.00E+07,1.39E+08,PG,25-Dec-03
Wrong Turn,84,Horror; Thriller,Alejandro Gonzlez Irritu,Alan B. McElroy,Eliza Dushku; Jeremy Sisto; Emmanuelle Chriqui,32,6,55703,1.00E+07,1.54E+07,R,30-May-03
The Rundown,104,Action; Adventure; Comedy,Richard Donner,R.J. Stewart; R.J. Stewart,Dwayne Johnson; Seann William Scott; Christopher Walken,59,6.6,56177,8.50E+07,4.76E+07,PG-13,26-Sep-03
Cold Mountain,154,Drama; Romance; War,Shawn Levy,Charles Frazier; Anthony Minghella,Jude Law; Nicole Kidman; Rene Zellweger,73,7.2,84640,8.30E+07,9.56E+07,R,25-Dec-03
Paycheck,119,Sci-Fi; Thriller; Action,Marcus Nispel,Philip K. Dick; Dean Georgaris,Ben Affleck; Aaron Eckhart; Uma Thurman,43,6.1,64917,6.00E+07,5.38E+07,PG-13,25-Dec-03
The Texas Chainsaw Massacre,98,Horror,John Woo,Kim Henkel; Tobe Hooper,Jessica Biel; Jonathan Tucker; Andrew Bryniarski,38,6.1,73925,9200000,8.01E+07,R,17-Oct-03
Once Upon a Time in Mexico,102,Action; Thriller,Roger Donaldson,Robert Rodriguez,Antonio Banderas; Salma Hayek; Johnny Depp,56,6.3,91560,2.90E+07,5.58E+07,R,12-Sep-03
Brother Bear,85,Animation; Adventure; Family,Audrey Wells,Tab Murphy; Lorne Cameron,Joaquin Phoenix; Jeremy Suarez; Rick Moranis,48,6.6,34752,,8.53E+07,G,1-Nov-03
Daredevil,103,Action; Crime; Fantasy,Antoine Fuqua,Mark Steven Johnson,Ben Affleck; Jennifer Garner; Colin Farrell,42,5.4,110397,7.80E+07,1.03E+08,PG-13,14-Feb-03
Memories of Murder,132,Crime; Drama; Mystery,Clark Johnson,Joon-ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,82,8.1,27681,,14131,,2-May-03
S.W.A.T.,117,Action; Crime; Thriller,Rob Zombie,Robert Hamner; Ron Mita,Samuel L. Jackson; Colin Farrell; Michelle Rodriguez,45,5.9,84345,8.00E+07,1.17E+08,PG-13,8-Aug-03
Tears of the Sun,121,Action; Drama; Thriller,Aaron Blaise,Alex Lasker; Patrick Cirillo,Bruce Willis; Cole Hauser; Monica Bellucci,48,6.5,62317,7.00E+07,4.34E+07,R,7-Mar-03
Out of Time,105,Crime; Drama; Thriller,Peter Howitt,David Collard,Denzel Washington; Sanaa Lathan; Eva Mendes,63,6.4,32079,5.00E+07,4.09E+07,R,3-Oct-03
Secondhand Lions,109,Comedy; Drama; Family,Nancy Meyers,Tim McCanlies,Haley Joel Osment; Michael Caine; Robert Duvall,52,7.5,30165,3.00E+07,4.14E+07,PG,19-Sep-03
Timeline,116,Action; Adventure; Sci-Fi,Joon-ho Bong,Michael Crichton; Jeff Maguire,Paul Walker; Gerard Butler; Billy Connolly,28,5.4,38328,8.00E+07,1.95E+07,PG-13,26-Nov-03
"Spring, Summer, Fall, Winter... and Spring",103,Drama,Andrzej Bartkowiak,Ki-duk Kim,Ki-duk Kim; Yeong-su Oh; Jong-ho Kim,85,8.1,37237,,2380788,R,19-Sep-03
Lara Croft Tomb Raider: The Cradle of Life,117,Action; Adventure; Fantasy,Mark Waters,Dean Georgaris; Steven E. de Souza,Angelina Jolie; Gerard Butler; Chris Barrie,43,5.3,65448,9.50E+07,6.57E+07,PG-13,25-Jul-03
House of 1000 Corpses,89,Horror,Jee-woon Kim,Rob Zombie,Sid Haig; Karen Black; Bill Moseley,31,5.8,42055,7000000,1.26E+07,R,11-Apr-03
Dogville,178,Drama,Tommy Wiseau,Lars von Trier,Nicole Kidman; Paul Bettany; Lauren Bacall,59,7.9,74845,DKK 83000000,1530386,R,21-May-03
Open Range,139,Action; Romance; Western,Tim McCanlies,Lauran Paine; Craig Storper,Kevin Costner; Robert Duvall; Diego Luna,67,7.4,38897,2.60E+07,5.83E+07,R,15-Aug-03
Johnny English,87,Action; Adventure; Comedy,Steve Carr,Neal Purvis; Robert Wade,Rowan Atkinson; John Malkovich; Natalie Imbruglia,51,5.9,73455,3.50E+07,2.80E+07,PG,18-Jul-03
